Designator,Mid X,Mid Y,Layer,Rotation
C1,-12.400000mm,-13.300000mm,Top,270
C2,-15.500000mm,-5.900000mm,Top,90
C3,-23.900000mm,-9.800000mm,Top,90
C4,-22.900000mm,-9.800000mm,Top,90
C5,-12.950000mm,-11.700000mm,Top,0
C6,-18.500000mm,-5.900000mm,Top,90
C7,-22.300000mm,-7.700000mm,Top,180
C8,-9.800000mm,-2.900000mm,Top,90
C9,-13.700000mm,-5.300000mm,Top,180
C10,-17.500000mm,-5.900000mm,Top,90
C11,-19.600000mm,-3.000000mm,Top,90
C12,-20.600000mm,-3.000000mm,Top,90
C13,-22.900000mm,-3.500000mm,Top,90
C14,-16.500000mm,-5.900000mm,Top,90
C15,-12.500000mm,-5.300000mm,Top,180
C16,-17.900000mm,-2.300000mm,Top,180
C17,-19.100000mm,-1.300000mm,Top,0
C18,-29.767500mm,-11.300000mm,Top,0
C19,-29.100000mm,-10.700000mm,Top,270
C20,-24.300000mm,-16.100000mm,Top,270
C21,-26.700000mm,-8.300000mm,Top,90
C22,-25.700000mm,-8.300000mm,Top,90
C23,-28.500000mm,-9.100000mm,Top,0
C24,-28.500000mm,-5.700000mm,Top,0
C25,-28.500000mm,-2.300000mm,Top,0
C26,-29.100000mm,-11.932500mm,Top,270
C27,-26.800000mm,-13.100000mm,Top,270
C28,-25.700000mm,-15.500000mm,Top,270
C29,-23.100000mm,-16.100000mm,Top,270
C30,-27.400000mm,-12.500000mm,Top,0
C31,-28.500000mm,-13.600000mm,Top,0
C32,-28.500000mm,-17.000000mm,Top,0
C33,-28.500000mm,-20.400000mm,Top,0
C34,2.500000mm,-19.750000mm,Top,180
C35,2.500000mm,-18.000000mm,Top,180
C36,2.500000mm,-16.250000mm,Top,180
C37,-10.467500mm,-0.400000mm,Top,0
J5,-35.000000mm,-7.000000mm,Top,180
J6,-35.000000mm,-13.000000mm,Top,180
J7,-13.000000mm,-10.000000mm,Top,0
L1,-19.500000mm,-7.400000mm,Top,0
L2,-29.100000mm,-7.400000mm,Top,270
L3,-29.100000mm,-4.000000mm,Top,270
L4,-25.700000mm,-10.700000mm,Top,270
L5,-25.700000mm,-13.100000mm,Top,90
L6,-29.100000mm,-15.300000mm,Top,90
L7,-29.100000mm,-18.700000mm,Top,90
R1,-19.600000mm,-5.200000mm,Top,90
R2,-20.600000mm,-5.202500mm,Top,90
R3,-22.900000mm,-5.900000mm,Top,90
R4,-21.700000mm,-5.202500mm,Top,90
R5,-17.900000mm,-3.300000mm,Top,0
R6,-17.300000mm,-0.700000mm,Top,270
R7,-19.100000mm,-0.100000mm,Top,0
R8,-19.100000mm,-18.900000mm,Top,0
R9,-19.100000mm,-17.500000mm,Top,0
R10,-11.900000mm,-5.900000mm,Top,90
R11,-7.400000mm,-4.100000mm,Top,0
R12,-8.000000mm,-3.500000mm,Top,270
R13,-12.500000mm,-7.500000mm,Top,180
R14,-10.700000mm,-14.700000mm,Top,180
R15,-28.497500mm,-1.200000mm,Top,0
R16,-12.797500mm,-0.400000mm,Top,180
R17,-12.802500mm,0.600000mm,Top,0
RN1,-12.550000mm,-9.550000mm,Top,0
RN3,-0.800000mm,-10.200000mm,Top,0
U1,-18.160000mm,-12.500000mm,Top,0
X1,-13.100000mm,-2.900000mm,Top,180
